"subject","activity_names","average"
11,"WALKING_UPSTAIRS",-0.367092432952295
12,"LAYING",-0.720280064034769
12,"SITTING",-0.7202815742233
12,"STANDING",-0.711753043160758
12,"WALKING",-0.263350166091041
12,"WALKING_DOWNSTAIRS",-0.186740513839421
12,"WALKING_UPSTAIRS",-0.35464001685622
13,"LAYING",-0.723411193099984
13,"SITTING",-0.727330017318191
13,"STANDING",-0.734925759009998
13,"WALKING",-0.213430577977278
13,"WALKING_DOWNSTAIRS",-0.174589515236532
13,"WALKING_UPSTAIRS",-0.326658172220523
14,"LAYING",-0.698686057845588
14,"SITTING",-0.72269463513489
14,"STANDING",-0.726369829177909
14,"WALKING",-0.283532024526943
14,"WALKING_DOWNSTAIRS",-0.00241916068803472
14,"WALKING_UPSTAIRS",-0.103676112630289
15,"LAYING",-0.725181191996191
15,"SITTING",-0.726021692718958
15,"STANDING",-0.726274306631248
15,"WALKING",-0.305802793692622
15,"WALKING_DOWNSTAIRS",-0.122446670172444
15,"WALKING_UPSTAIRS",-0.29333250172849
16,"LAYING",-0.73565943752357
16,"SITTING",-0.727003533963761
16,"STANDING",-0.73704712399142
16,"WALKING",-0.382303581067938
16,"WALKING_DOWNSTAIRS",-0.219913544714322
16,"WALKING_UPSTAIRS",-0.379405694750558
17,"LAYING",-0.723563828603225
17,"SITTING",-0.739383726702046
17,"STANDING",-0.746091020067981
17,"WALKING",-0.310395574489869
17,"WALKING_DOWNSTAIRS",-0.234096963109806
17,"WALKING_UPSTAIRS",-0.299496908313329
18,"LAYING",-0.738539399267724
18,"SITTING",-0.736136004608996
18,"STANDING",-0.736886584543685
18,"WALKING",-0.393392383752411
18,"WALKING_DOWNSTAIRS",-0.37729376397219
18,"WALKING_UPSTAIRS",-0.421633779016438
19,"LAYING",-0.734709073705686
19,"SITTING",-0.720190154775268
19,"STANDING",-0.727935247536924
19,"WALKING",-0.0770923543761925
19,"WALKING_DOWNSTAIRS",0.146427954959568
19,"WALKING_UPSTAIRS",-0.193324421131777
20,"LAYING",-0.730291813715994
20,"SITTING",-0.718412979650005
20,"STANDING",-0.69625943667416
20,"WALKING",-0.0987512164862629
20,"WALKING_DOWNSTAIRS",-0.0486874839758747
20,"WALKING_UPSTAIRS",-0.204451336059084
21,"LAYING",-0.72154467969104
21,"SITTING",-0.735530960563228
21,"STANDING",-0.733115377397136
21,"WALKING",-0.244558721900596
21,"WALKING_DOWNSTAIRS",-0.14675378225733
21,"WALKING_UPSTAIRS",-0.295008841460928
22,"LAYING",-0.711413148855046
22,"SITTING",-0.7124211005963
22,"STANDING",-0.719553620369834
22,"WALKING",-0.170405038571775
22,"WALKING_DOWNSTAIRS",-0.150486791339358
22,"WALKING_UPSTAIRS",-0.194623474384133
23,"LAYING",-0.730710567129642
23,"SITTING",-0.718394561411419
23,"STANDING",-0.727594490556777
23,"WALKING",-0.0989661851266314
23,"WALKING_DOWNSTAIRS",-0.0143855224618547
23,"WALKING_UPSTAIRS",-0.25571057568837
24,"LAYING",-0.730505494870148
24,"SITTING",-0.729397449354491
24,"STANDING",-0.726973069054008
24,"WALKING",-0.355274528536261
24,"WALKING_DOWNSTAIRS",-0.244539056445832
24,"WALKING_UPSTAIRS",-0.360052784893535
25,"LAYING",-0.645459295867213
25,"SITTING",-0.729796969877699
25,"STANDING",-0.731665038499348
25,"WALKING",-0.416354973189947
25,"WALKING_DOWNSTAIRS",-0.341546322389135
25,"WALKING_UPSTAIRS",-0.427803254102986
26,"LAYING",-0.73706400027623
26,"SITTING",-0.724168798657908
26,"STANDING",-0.732860447195657
26,"WALKING",-0.31991501307102
26,"WALKING_DOWNSTAIRS",-0.177522370869316
26,"WALKING_UPSTAIRS",-0.329900334700392
27,"LAYING",-0.739505488480158
27,"SITTING",-0.730793662869917
27,"STANDING",-0.736336109384865
27,"WALKING",-0.316721472957043
27,"WALKING_DOWNSTAIRS",-0.184654357863825
27,"WALKING_UPSTAIRS",-0.364919645725015
28,"LAYING",-0.742737123204851
28,"SITTING",-0.723573618852118
28,"STANDING",-0.704872427934084
28,"WALKING",-0.311226047804274
28,"WALKING_DOWNSTAIRS",-0.142170795749939
28,"WALKING_UPSTAIRS",-0.323055818859648
29,"LAYING",-0.739324309223802
29,"SITTING",-0.731180402000802
29,"STANDING",-0.739383351633024
29,"WALKING",-0.260521828123396
29,"WALKING_DOWNSTAIRS",-0.183161170966564
29,"WALKING_UPSTAIRS",-0.231085197039681
30,"LAYING",-0.726366360797565
30,"SITTING",-0.724136534719808
30,"STANDING",-0.706926063499654
30,"WALKING",-0.264213121089303
30,"WALKING_DOWNSTAIRS",-0.220272783214572
30,"WALKING_UPSTAIRS",-0.331837409417546
